id,项目名称,网址,控制价,下浮率,基准价
A3311011160012788,缙云县千年古城共同富裕项目（核心区）-北门社区综合服务用房装修工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/5/31/art_1229662089_213320.html,5243185.232,5.2,4970539.6
A3311011160012926,联花路（金丽温高速-花街路）等道路工程设计,http://lssggzy.lishui.gov.cn/art/2023/5/31/art_1229661812_213292.html,0,0,0
A3311011160012984,丽武公路至东西岩公路工程（老竹中学段连接线）,http://lssggzy.lishui.gov.cn/art/2023/5/31/art_1229661852_213323.html,13099420.39,3.5,12640940.68
A3311011160012718,沙湾镇敬老院项目,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229662190_213297.html,34192055.86,9.9,30807042.33
A3311011160013001,青田县机关幼儿园东景湾和润嘉园区改建工程,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229661956_213300.html,0,10,0
A3311011160012746,景宁县汇田路延伸工程,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229662190_213234.html,11490672.42,9.4,10410549.21
A3311011160012993,缙云县农村饮用水保障工程（二期）设计项目,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229662089_213263.html,0,0,0
A3311011160012916,丽水市城市有机更新建设项目-历史文化街区及周边区域有机更新项目（第一批）设计,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229661812_213306.html,0,0,0
A3311011160012923,丽水市消防救援支队战勤保障站暨联城消防站项目EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229661812_213159.html,0,0,0
A3311011160012787,莲都学校（刘英小学）扩建工程设计,http://lssggzy.lishui.gov.cn/art/2023/5/29/art_1229661852_210787.html,0,0,0
A3311011160012951,古堰画乡景区改造提升项目总承包（EPC）,http://lssggzy.lishui.gov.cn/art/2023/5/29/art_1229661852_213144.html,0,0,0
A3311011160012896,青田县“十四五”农村饮用水提升工程－青田县2022年度莲树坑等49个村农村供水保障工程（瓯南街道郑坑下村）,http://lssggzy.lishui.gov.cn/art/2023/5/29/art_1229661956_213099.html,4757221.83,0,4757221.83
LD[2023]087号,联城人民法庭建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/29/art_1229661852_213092.html,0,0,0
A3311011160012890,松阳县西屏街道环城西路152号(原松阳师范)地块工程施工监理,http://lssggzy.lishui.gov.cn/art/2023/5/26/art_1229662157_212981.html,0,0,0
A3311011160012903,青田县“十四五”农村饮用水提升工程-青田县2022年度彭湖村等40个村农村供水保障工程（仁宫乡彭湖村）,http://lssggzy.lishui.gov.cn/art/2023/5/26/art_1229661956_212881.html,4169621.65,0,4169621.65
A3311011160012979,青田县侨乡小微食品产业园土石方平整和边坡防护工程二期,http://lssggzy.lishui.gov.cn/art/2023/5/26/art_1229661956_212962.html,12562601.78,6.8,11708344.86
A3311011160012927,林宅路等道路工程设计,http://lssggzy.lishui.gov.cn/art/2023/5/26/art_1229661812_212792.html,0,0,0
A3311011160012967,松阳县江南灌区续建配套与节水改造项目实施方案（初步设计）阶段勘察设计,http://lssggzy.lishui.gov.cn/art/2023/5/25/art_1229662157_212626.html,0,0,0
LD[2023]084号,莲都区港口砂石料基地项目监理,http://lssggzy.lishui.gov.cn/art/2023/5/25/art_1229661852_212759.html,0,0,0
A3311011160012921,缙云县名山湖地下公共停车场项目设计采购施工（EPC）总承包工程,http://lssggzy.lishui.gov.cn/art/2023/5/25/art_1229662089_212790.html,0,0,0
A3311011160012891,遂昌县2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/5/25/art_1229662124_203958.html,24831319.75,3,24086380.16
A3311011160012970,遂昌县低丘缓坡开发东城龙板山区块一期工程【纬五路（经三路-0+204.5）、经二路（纬四路-纬五路）、A-02地块挡土墙、A-08地块边坡防护、A-12地块一级坡脚挡墙】,http://lssggzy.lishui.gov.cn/art/2023/5/24/art_1229662124_212612.html,23580880,11.5,20869078.8
A3311011160012969,青田县祯埠镇养老中心新建项目,http://lssggzy.lishui.gov.cn/art/2023/5/24/art_1229661956_212615.html,0,7.3,0
A3311011160012960,丽水摄影文化中心项目-电梯设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/5/24/art_1229661812_212500.html,0,0,0
A3311011160012915,缙云县乡镇街道生态公墓建设工程-新湖片区骨灰堂建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229662089_212408.html,4819949.416,7.6,4453633.26
A3311011160012966,松阳县大东坝镇团结水库工程施工图设计项目,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229662157_212342.html,0,0,0
A3311011160012943,青田县2023年普通国省道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229661956_212487.html,25920204.93,0,25920204.93
A3311011160012946,缙云县乡镇街道生态公墓建设工程-东方胪膛片区骨灰堂及附属工程,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229662089_212353.html,5425835.398,7,5046026.92
A3311011160012931,丽水市廉政教育中心迁建工程,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229661812_212388.html,0,0,0
A3311011160012924,青田县山茶油仓储及研发中心建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229661956_212304.html,13423500.11,9.6,12134844.1
A3311011160012953,缙云县乡镇街道生态公墓建设工程-三溪乡骨灰堂室及附属工程,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229662089_212323.html,5656362.053,5.5,5345262.14
A3311011160012961,缙云县乡镇街道生态公墓建设工程-石笕乡生态公墓建设工程,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229662089_212113.html,5712091.19,5.9,5375077.81
A3311011160012933,青田县白浦村和美乡村建设基础设施提升改造项目(一期),http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229661956_212331.html,7476844.145,8.8,6818881.86
A3311011160012932,丽水市廉政教育中心迁建工程监理,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229661812_212256.html,2629500,0,2629500
A3311011160012928,路湾大桥项目设计,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229661812_212344.html,0,0,0
A3311011160012959,莲都区画乡大酒店项目设计,http://lssggzy.lishui.gov.cn/art/2023/5/19/art_1229661852_211998.html,0,0,0
A3311011160012962,青田县石郭小学新建工程,http://lssggzy.lishui.gov.cn/art/2023/5/19/art_1229661956_212134.html,119054849,9.2,108101802.9
A3311011160012929,丽水南城七百秧D-27地块配建七百秧支路,http://lssggzy.lishui.gov.cn/art/2023/5/19/art_1229661812_212074.html,10372316,6.8,9666998.51
A3311011160012912,青田县温溪镇横溪流域治理工程 沙门至大垟下段防洪堤新建工程（二期）,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229661956_211965.html,19351297.85,0,19351297.85
A3311011160012937,云和县紧水滩镇中心卫生院拆建项目,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229661989_211972.html,3974597.324,6.2,3728172.29
A3311011160012889,第九批历史文化（传统）村落保护利用重点村建设—遂昌县蔡源乡蔡和村（二期）,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229662124_211974.html,3813770.385,9.1,3466717.28
A3311011160012905,浙江龙泉经济开发区回归工程11-2号地块陶瓷制造园扩建工程,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229661923_210944.html,0,0,0
A3311011160012879,青田县华隆区块老旧小区改造及污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229661956_211978.html,14073067.6,6.5,13158318.21
