序号,id,项目名称,网址,zbkzj,下浮率,kbjj,投标单位数量,city,province
41,A3311011160013054,遂昌县湖山乡牌坊门农民集中建房—室外配套工程,http://lssggzy.lishui.gov.cn/art/2023/6/7/art_1229662124_214056.html,4733264.319,18.5,3857610.42,195,丽水市,安徽省
42,A3311011160013030,庆元县屏都综合新区香菇小镇工业区块南辅路、南三路及周边挡土墙一期工程,http://lssggzy.lishui.gov.cn/art/2023/6/7/art_1229662056_213974.html,18133020,12.4,15884525.52,211,丽水市,安徽省
43,A3311011160013048,天宁水厂南侧配套路延伸段工程,http://lssggzy.lishui.gov.cn/art/2023/6/7/art_1229661812_213962.html,12169183.27,11,10830573.11,216,丽水市,安徽省
44,A3311011160012919,青田县沙埠幼儿园改扩建一期工程,http://lssggzy.lishui.gov.cn/art/2023/6/5/art_1229661956_213799.html,19112419.59,4.1,18328810.39,20,丽水市,安徽省
45,A3311011160013004,青田县石郭溪景观桥工程,http://lssggzy.lishui.gov.cn/art/2023/6/1/art_1229661956_213487.html,6041259.426,6,5678783.86,11,丽水市,安徽省
46,A3311011160012788,缙云县千年古城共同富裕项目（核心区）-北门社区综合服务用房装修工程设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/5/31/art_1229662089_213320.html,5243185.232,5.2,4970539.6,3,丽水市,安徽省
47,A3311011160012984,丽武公路至东西岩公路工程（老竹中学段连接线）,http://lssggzy.lishui.gov.cn/art/2023/5/31/art_1229661852_213323.html,13099420.39,3.5,12640940.68,66,丽水市,安徽省
48,A3311011160012718,沙湾镇敬老院项目,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229662190_213297.html,34192055.86,9.9,30807042.33,178,丽水市,安徽省
49,A3311011160012746,景宁县汇田路延伸工程,http://lssggzy.lishui.gov.cn/art/2023/5/30/art_1229662190_213234.html,11490672.42,9.4,10410549.21,214,丽水市,安徽省
50,A3311011160012979,青田县侨乡小微食品产业园土石方平整和边坡防护工程二期,http://lssggzy.lishui.gov.cn/art/2023/5/26/art_1229661956_212962.html,12562601.78,6.8,11708344.86,86,丽水市,安徽省
51,A3311011160012891,遂昌县2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/5/25/art_1229662124_203958.html,24831319.75,3,24086380.16,4,丽水市,安徽省
52,A3311011160012970,遂昌县低丘缓坡开发东城龙板山区块一期工程【纬五路（经三路-0+204.5）、经二路（纬四路-纬五路）、A-02地块挡土墙、A-08地块边坡防护、A-12地块一级坡脚挡墙】,http://lssggzy.lishui.gov.cn/art/2023/5/24/art_1229662124_212612.html,23580880,11.5,20869078.8,289,丽水市,安徽省
53,A3311011160012915,缙云县乡镇街道生态公墓建设工程-新湖片区骨灰堂建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229662089_212408.html,4819949.416,7.6,4453633.26,44,丽水市,安徽省
54,A3311011160012946,缙云县乡镇街道生态公墓建设工程-东方胪膛片区骨灰堂及附属工程,http://lssggzy.lishui.gov.cn/art/2023/5/23/art_1229662089_212353.html,5425835.398,7,5046026.92,50,丽水市,安徽省
