项目名称,网址,项目类型,项目所在地,zbkzj,下浮率,kbjj,投标单位数量,开标时间
长江经济带瓯江干流（市本级段）流域保护及修复工程-岩泉街道（贺家坑沿线）管网改造项目,http://lssggzy.lishui.gov.cn/art/2023/10/9/art_1229661852_234217.html,1基础设施,莲都,0,0,0,15,2023/10/9
庆元县“全域污水零直排区”创建项目（二期）-同济新村北区块,http://lssggzy.lishui.gov.cn/art/2023/10/9/art_1229662056_234329.html,市政基础设施工程,庆元,0,0,0,20,2023/10/9
长江经济带瓯江干流（市本级段）流域保护及修复工程--天宁工业园区（贺家坑沿线）管网改造项目,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229661852_234543.html,1基础设施,莲都,0,0,0,100,2023/10/10
缙云县中心镇养老院建设工程—大洋养老院建设工程,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229662089_234607.html,房屋建筑工程,缙云,33143435.64,4.5,31651981.04,192,2023/10/10
澄照乡同心小区三期基础设施建设项目,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229662190_234438.html,市政基础设施工程,景宁,4521348.091,9.9,4073734.63,91,2023/10/10
长江经济带瓯江干流（市本级段）流域保护及修复工程－紫金街道（厦河商城、厦河二区、五区）管网改造项目,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229661852_234605.html,1基础设施,莲都,0,0,0,133,2023/10/10
松阳县人民医院改扩建项目-智能化工程,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229662157_234332.html,房屋建筑工程,松阳,0,0,0,11,2023/10/10
遂昌县“四好农村路”建设-2024年农村公路大中修工程勘察设计,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229662124_234547.html,交通工程,遂昌,0,19.63,0,5,2023/10/10
2023年遂昌县北界镇高标准农田建设项目,http://lssggzy.lishui.gov.cn/art/2023/10/10/art_1229662124_234525.html,农业工程,遂昌,0,0,0,67,2023/10/10
遂昌县乌溪江流域洋溪源综合治理工程III标,http://lssggzy.lishui.gov.cn/art/2023/10/11/art_1229662124_234783.html,水利工程,遂昌,3820290.24,0,3820290.24,98,2023/10/11
丽水市市区屋顶（第三批次）光伏项目-逆变器采购（第二次）,http://lssggzy.lishui.gov.cn/art/2023/10/11/art_1229661852_234867.html,7,莲都区,0,0,0,5,2023/10/11
青田县方山乡石前村至阮大岙村道路改建工程,http://lssggzy.lishui.gov.cn/art/2023/10/11/art_1229661956_234609.html,交通工程,青田,26143462.15,3.5,25228440.97,72,2023/10/11
龙泉市青创空间三期项目,http://lssggzy.lishui.gov.cn/art/2023/10/11/art_1229661923_233771.html,房屋建筑工程,龙泉,0,0,0,47,2023/10/11
2023年遂昌县金竹镇高标准农田建设项目,http://lssggzy.lishui.gov.cn/art/2023/10/11/art_1229662124_234752.html,农业工程,遂昌,0,6.1,0,157,2023/10/11
景宁畲族自治县殡仪馆自来水供水工程,http://lssggzy.lishui.gov.cn/art/2023/10/12/art_1229662190_235098.html,市政基础设施工程,景宁,0,0,0,25,2023/10/12
古堰画乡君澜大酒店项目设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/10/12/art_1229661852_235102.html,房屋建筑,莲都,0,0,0,8,2023/10/12
青田石雕文旅综合体（B区）装修工程设计,http://lssggzy.lishui.gov.cn/art/2023/10/12/art_1229661956_235108.html,房屋建筑工程,青田,0,0,0,9,2023/10/12
青田县海口至海溪公路改建工程,http://lssggzy.lishui.gov.cn/art/2023/10/12/art_1229661956_234870.html,交通工程,青田,88735427.93,3,86073365.09,53,2023/10/12
千峡湖绿道经济带（一期）-最美骑行道（张坪至黄岭头公路提升改造工程）（道路部分）,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661956_235507.html,交通工程,青田,14180515.69,3,13755100.22,41,2023/10/13
丽水市海潮河老旧小区改造暨历史街区改造项目标段三（高井弄历史文化街区改造）工程设计,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661812_235500.html,房屋建筑,丽水,0,0,0,6,2023/10/13
丽水市再生资源分拣中心项目(一期),http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661812_235106.html,房屋建筑,丽水,38966921,4.3,37291343.4,55,2023/10/13
丽水南城余庄前A-10-5-2地块项目,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661812_235127.html,房屋建筑,丽水,0,0,0,31,2023/10/13
丽水东西岩客运综合交通枢纽工程全过程工程咨询服务,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661852_235491.html,房屋建筑,莲都,0,0,0,9,2023/10/13
遂昌县龙板山绿色建材生产基地建设项目设计,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229662124_235457.html,房屋建筑工程,遂昌,0,0,0,10,2023/10/13
青田鹤城陈山5.98MW农光互补光伏电站项目,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661956_235164.html,农业工程,青田,0,0,0,26,2023/10/13
龙泉市工业空间拓展电力配套工程,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229661923_234212.html,能源工程,龙泉,0,0,0,12,2023/10/13
遂昌县南尖岩景区生态旅游示范区提升工程设计,http://lssggzy.lishui.gov.cn/art/2023/10/13/art_1229662124_235476.html,房屋建筑工程,遂昌,1075505,0,1075505,4,2023/10/13
松阳自动驾驶和智慧交通助推山区共同富裕创新示范项目（一期）设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/10/14/art_1229662157_235492.html,交通工程,松阳,0,0,0,10,2023/10/14
